QuestionID,LegacyQuestionID,SurveyID,SurveyFocusArea,ScoreFocusArea,SpaceTypeID,CategoryID,SubcategoryID,SchoolLevel,QuestionText,Context,QuestionType,ScoringMode,QuestionWeight,DisplayOrder,IsRequired,IsActive
OD-001,OD-001,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Select all that are present (essential soft play features),,MultiSelect,MixedItemScoring,9,10,True,True
OD-002,OD-002,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Select all that are present (additional soft play features),,MultiSelect,MixedItemScoring,3,20,True,True
OD-003,OD-003,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Are the early childhood and elementary playground areas clearly separated from each other?,,YesNo,SingleResponse,12,30,True,True
OD-004,OD-004,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-SAFETY-AND-SUPERVISION,ES,Is the early childhood playground area enclosed by fencing?,Supports playground safety and containment,YesNo,SingleResponse,12,40,True,True
OD-005,OD-005,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-SAFETY-AND-SUPERVISION,ES,Do playground fall zones have soft surfacing?,,YesNo,SingleResponse,12,50,True,True
OD-006,OD-006,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Select all that are present (playground equipment features),,MultiSelect,Inventory,,60,True,True
OD-007,OD-007,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Select all that are present (nature-based play features),,MultiSelect,MixedItemScoring,9,70,True,True
OD-008,OD-008,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,"ES, MS",Select all that are present (essential hard play features),,MultiSelect,MixedItemScoring,9,80,True,True
OD-009,OD-009,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ES,Select all that are present (additional hard play features),,MultiSelect,MixedItemScoring,3,90,True,True
OD-010,OD-010,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-OCCUPANT-COMFORT,ES,Which play areas have shade structures or shaded areas on or near them?,,MultiSelect,MixedItemScoring,9,100,True,True
OD-011,OD-011,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-OCCUPANT-COMFORT,MS,Does the hard play area have shade structures or shaded areas on or near it?,,YesNo,SingleResponse,9,110,True,True
