QuestionID,SurveyID,SpaceTypeID,ScoringCategoryID,CategoryID,SubcategoryID,GradeApplicability,QuestionText,QuestionType,ParentScoringPattern,QuestionWeight,DisplayOrder,IsRequired,IsActive,LegacyQuestionID
MW-001,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-GENERAL,All,Is a dedicated mental wellness and counseling suite provided on this campus?,YesNo,SingleResponse,1,10,True,True,MW-001
MW-002,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-ADJACENCIES,All,"Is the suite easily accessible to students from the main circulation areas of the building (i.e., not requiring travel through a separate wing or remote corridor)?",YesNo,SingleResponse,1,20,True,True,MW-002
MW-003,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-LAYOUT,ES,Select all that are provided within the suite (Spaces Checklist),MultiSelect,MixedItemScoring,1,30,True,True,MW-003
MW-004,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-LAYOUT,MS/HS,Select all that are provided within the suite (Spaces Checklist),MultiSelect,MixedItemScoring,1,40,True,True,MW-004
MW-005,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-LAYOUT,ES,How many Professional School Counselor offices are provided?,SingleSelect,SingleResponse,1,50,True,True,MW-005
MW-006,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-LAYOUT,MS/HS,How many Professional School Counselor offices are provided?,SingleSelect,SingleResponse,1,60,True,True,MW-006
MW-007,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-SAFETY,MS/HS,"Does the counseling center have a secondary door to a separate egress path (i.e., a second door to a corridor or exterior)?",YesNo,SingleResponse,1,70,True,True,MW-007
MW-008,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FUNCTION,SUB-COUNSELING-SUITE-FUNCTION-SAFETY,MS/HS,"Which spaces have user-controlled visual privacy on interior glass (e.g., roller shades or curtains)?",MultiSelect,MixedItemScoring,1,80,True,True,MW-008
MW-009,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-INFRASTRUCTURE,SUB-COUNSELING-SUITE-INFRASTRUCTURE-LIGHTING,All,Which spaces within the suite have dimmable light fixtures?,MultiSelect,MixedItemScoring,1,90,True,True,MW-009
MW-010,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-INFRASTRUCTURE,SUB-COUNSELING-SUITE-INFRASTRUCTURE-STORAGE,All,How is lockable storage provided for confidential files and personal items within the suite?,SingleSelect,SingleResponse,1,100,True,True,MW-010
MW-011,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-ENVIRONMENTAL-QUALITY,SUB-COUNSELING-SUITE-ENVIRONMENTAL-QUALITY-OCCUPANT-COMFORT,All,What temperature controls are provided within the suite?,SingleSelect,SingleResponse,1,110,True,True,MW-011
MW-012,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FF-E,SUB-COUNSELING-SUITE-FF-E-FURNITURE,All,Select all that apply (Furniture),MultiSelect,MixedItemScoring,1,120,True,True,MW-012
MW-013,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FF-E,SUB-COUNSELING-SUITE-FF-E-FURNITURE,All,What is the condition of the furniture?,SingleSelect,SingleResponse,1,130,True,True,MW-013
MW-014,SRV-ADMIN,SPT-COUNSELING-SUITE,SCAT-ADM,CAT-COUNSELING-SUITE-FF-E,SUB-COUNSELING-SUITE-FF-E-FLOORING,All,What type of flooring is in the space?,SingleSelect,SingleResponse,1,140,True,True,MW-014
AD-001,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FUNCTION,SUB-ADMIN-OFFICE-FUNCTION-LAYOUT,All,"Does the office layout support individual work and one-on-one meetings (i.e., space for a desk plus at least one guest seat)?",YesNo,SingleResponse,1,150,True,True,AD-001
AD-002,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-LIGHTING,All,Select all that apply (Lighting),MultiSelect,MixedItemScoring,1,160,True,True,AD-002
AD-003,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY,SUB-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY-AESTHETICS,All,Which of the following describe the color scheme in the space?,SingleSelect,SingleResponse,1,170,True,True,AD-003
AD-004,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-DAYLIGHTING,All,Are there exterior windows?,YesNo,SingleResponse,1,180,True,True,AD-004
AD-005,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-DAYLIGHTING,All,Select all that apply (Exterior Windows),MultiSelect,MixedItemScoring,1,190,True,True,AD-005
AD-006,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-DAYLIGHTING,All,What window coverings are provided on exterior windows?,SingleSelect,SingleResponse,1,200,True,True,AD-006
AD-007,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-STORAGE,All,Select all that apply (Storage),MultiSelect,MixedItemScoring,1,210,True,True,AD-007
AD-008,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-POWER-SOURCES,All,"How many general-use outlets are provided? (Count each wall plate as one, regardless of the number of plugs.)",SingleSelect,SingleResponse,1,220,True,True,AD-008
AD-009,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-POWER-SOURCES,All,How many walls in the space have general-use outlets?,SingleSelect,SingleResponse,1,230,True,True,AD-009
AD-010,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY,SUB-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY-OCCUPANT-COMFORT,All,Select one (Temperature Control),SingleSelect,SingleResponse,1,240,True,True,AD-010
AD-011,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FUNCTION,SUB-ADMIN-OFFICE-FUNCTION-SAFETY,All,"Is visibility provided into the space from adjacent interior spaces (i.e., glass exists, even if currently covered)?",YesNo,SingleResponse,1,250,True,True,AD-011
AD-012,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FUNCTION,SUB-ADMIN-OFFICE-FUNCTION-SAFETY,All,What type of visibility is provided into the space from adjacent interior spaces?,MultiSelect,MixedItemScoring,1,260,True,True,AD-012
AD-013,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FUNCTION,SUB-ADMIN-OFFICE-FUNCTION-SAFETY,All,Select all that apply (Safety),MultiSelect,MixedItemScoring,1,270,True,True,AD-013
AD-014,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FF-E,SUB-ADMIN-OFFICE-FF-E-FURNITURE,All,Select all that apply (Furniture),MultiSelect,MixedItemScoring,1,280,True,True,AD-014
AD-015,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FF-E,SUB-ADMIN-OFFICE-FF-E-FURNITURE,All,What is the condition of the furniture?,SingleSelect,SingleResponse,1,290,True,True,AD-015
AD-016,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-FF-E,SUB-ADMIN-OFFICE-FF-E-FLOORING,All,What type of flooring is in the space?,SingleSelect,SingleResponse,1,300,True,True,AD-016
AD-017,SRV-ADMIN,SPT-ADMIN-OFFICE,SCAT-ADM,CAT-ADMIN-OFFICE-INFRASTRUCTURE,SUB-ADMIN-OFFICE-INFRASTRUCTURE-GENERAL,All,Select all that apply (General Inventory),MultiSelect,MixedItemScoring,1,310,True,True,AD-017
