QuestionID,SurveyID,SpaceTypeID,ScoringCategoryID,CategoryID,SubcategoryID,GradeApplicability,QuestionText,QuestionType,ParentScoringPattern,QuestionWeight,DisplayOrder,IsRequired,IsActive,LegacyQuestionID
ST-001,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-LAYOUT,ALL,Does the room shape allow for clear sightlines and flexible room configuration options?,YesNo,SingleResponse,1,10,True,True,
ST-002,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-LIGHTING,ALL,Select all that apply (Lighting),MultiSelect,MixedItemScoring,1,20,True,True,
ST-003,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-ENVIRONMENTAL-QUALIT,SUB-TRAD-ENVIRONMENTAL-QUALIT-AESTHETICS,ALL,Which of the following describe the color scheme in the space?,SingleSelect,SingleResponse,1,30,True,True,
ST-004,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DAYLIGHTING,ALL,Are there exterior windows?,YesNo,SingleResponse,1,40,True,True,
ST-005,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DAYLIGHTING,ALL,Select all that apply (Exterior Windows),MultiSelect,MixedItemScoring,1,50,True,True,
ST-006,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DAYLIGHTING,ALL,What window coverings are provided on exterior windows?,SingleSelect,SingleResponse,1,60,True,True,
ST-007,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-STORAGE,ALL,Select all that apply (Storage),MultiSelect,MixedItemScoring,1,70,True,True,
ST-008,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-STORAGE,ALL,How sufficient does the storage appear for the space's program needs?,SingleSelect,SingleResponse,1,80,True,True,
ST-009-ES,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DISPLAY,ES,"How much writable surface (e.g., markerboard) is provided, excluding glass? Include both fixed and mobile writable surfaces in your count.",SingleSelect,SingleResponse,1,90,True,True,ST-009
ST-009-MSHS,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DISPLAY,MS+HS,"How much writable surface (e.g., markerboard) is provided, excluding glass? Include both fixed and mobile writable surfaces in your count.",SingleSelect,SingleResponse,1,100,True,True,ST-009
ST-010,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DISPLAY,ALL,Which built-in systems for displaying student work are provided?,MultiSelect,MixedItemScoring,1,110,True,True,
ST-011,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DISPLAY,ALL,How much tackboard/tackwall/tackstrip is provided? Include both fixed and mobile surfaces.,SingleSelect,SingleResponse,1,120,True,True,
ST-012,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-POWER-SOURCES,ALL,"How many general-use outlets are provided? (Count each wall plate as one, regardless of the number of plugs.)",SingleSelect,SingleResponse,1,130,True,True,
ST-013,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-POWER-SOURCES,ALL,How many walls in the space have general-use outlets?,SingleSelect,SingleResponse,1,140,True,True,
ST-014,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-DATA-SOURCES,ALL,How many walls in the space have data outlets?,SingleSelect,SingleResponse,1,150,True,True,
ST-015,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-ENVIRONMENTAL-QUALIT,SUB-TRAD-ENVIRONMENTAL-QUALIT-OCCUPANT-COMFORT,ALL,Select one (Temperature Control),SingleSelect,SingleResponse,1,160,True,True,
ST-016,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-SAFETY,ALL,"Is visibility provided into the space from adjacent interior spaces (i.e., glass exists, even if currently covered)?",YesNo,SingleResponse,1,170,True,True,
ST-017,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-SAFETY,ALL,What type of visibility is provided into the space from adjacent interior spaces?,MultiSelect,MixedItemScoring,1,180,True,True,
ST-018,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-SAFETY,ALL,Select all that apply (Safety),MultiSelect,MixedItemScoring,1,190,True,True,
ST-019,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FF-E,SUB-TRAD-FF-E-FURNITURE,ALL,Select all that apply (Furniture),MultiSelect,MixedItemScoring,1,200,True,True,
ST-020,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FF-E,SUB-TRAD-FF-E-FURNITURE,ALL,How easily can the furniture be rearranged?,SingleSelect,SingleResponse,1,210,True,True,
ST-021,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FF-E,SUB-TRAD-FF-E-FURNITURE,ALL,"How varied are the seating options for students (i.e., are multiple seating types available)?",SingleSelect,SingleResponse,1,220,True,True,
ST-022,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FF-E,SUB-TRAD-FF-E-FURNITURE,ALL,What is the condition of the furniture?,SingleSelect,SingleResponse,1,230,True,True,
ST-023,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FF-E,SUB-TRAD-FF-E-FLOORING,ALL,What type of flooring is in the space?,SingleSelect,SingleResponse,1,240,True,True,
ST-024,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-ADJACENCIES,ALL,What access does the space have to a collaboration space?,SingleSelect,SingleResponse,1,250,True,True,
ST-025,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-FUNCTION,SUB-TRAD-FUNCTION-ADJACENCIES,ALL,What access does the space have to the exterior?,SingleSelect,SingleResponse,1,260,True,True,
ST-026,SRV-TRAD-STU,SPT-TRAD-STU,SCAT-STU,CAT-TRAD-INFRASTRUCTURE,SUB-TRAD-INFRASTRUCTURE-GENERAL,ALL,Select all that apply (General Inventory),MultiSelect,MixedItemScoring,1,270,True,True,
SL-001,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-FUNCTION,SUB-SL-FUNCTION-AVAILABILITY,ALL,Is there a dedicated Sensory Lab?,YesNo,SingleResponse,1,10,True,True,SL-001
SL-002,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-FUNCTION,SUB-SL-FUNCTION-LAYOUT,ALL,Does the room shape allow for clear sightlines and flexible room configuration options?,YesNo,SingleResponse,1,20,True,True,
SL-003,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-LIGHTING,ALL,Select all that apply (Lighting),MultiSelect,MixedItemScoring,1,30,True,True,
SL-004,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-ENVIRONMENTAL-QUALITY,SUB-SL-ENVIRONMENTAL-QUALITY-AESTHETICS,ALL,Which of the following describe the color scheme in the space?,SingleSelect,SingleResponse,1,40,True,True,
SL-005,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-DAYLIGHTING,ALL,Are there exterior windows?,YesNo,SingleResponse,1,50,True,True,
SL-006,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-DAYLIGHTING,ALL,Select all that apply (Exterior Windows),MultiSelect,MixedItemScoring,1,60,True,True,
SL-007,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-DAYLIGHTING,ALL,What window coverings are provided on exterior windows?,SingleSelect,SingleResponse,1,70,True,True,
SL-008,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-STORAGE,ALL,Select all that apply (Storage),MultiSelect,MixedItemScoring,1,80,True,True,
SL-009,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-STORAGE,ALL,How sufficient does the storage appear for the space's program needs?,SingleSelect,SingleResponse,1,90,True,True,
SL-010,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-POWER-SOURCES,ALL,"How many general-use outlets are provided? (Count each wall plate as one, regardless of the number of plugs.)",SingleSelect,SingleResponse,1,100,True,True,
SL-011,SRV-SENSORY-LAB,SPT-SENSORY-LAB,SCAT-STU,CAT-SL-INFRASTRUCTURE,SUB-SL-INFRASTRUCTURE-POWER-SOURCES,ALL,How many walls in the space have general-use outlets?,SingleSelect,SingleResponse,1,110,True,True,
