QuestionID,SurveyID,SpaceTypeID,ScoringCategoryID,CategoryID,SubcategoryID,GradeApplicability,QuestionText,QuestionType,ParentScoringPattern,QuestionWeight,DisplayOrder,IsRequired,IsActive,LegacyQuestionID
MA-001,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-LAYOUT,All,Select all that are provided within or directly adjacent to the administration suite (Spaces Checklist),MultiSelect,MixedItemScoring,1,10,True,True,MA-001
MA-002,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-SAFETY,All,"Does the principal's office have a secondary door to a separate egress path (i.e., a second door to a corridor or exterior)?",YesNo,SingleResponse,1,20,True,True,MA-002
MA-003,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-ADJACENCIES,All,What visibility does the main office work area have to the reception area?,SingleSelect,SingleResponse,1,30,True,True,MA-003
MA-004,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-ADJACENCIES,All,What relationship does the nurse or clinic space have to the main office area?,SingleSelect,SingleResponse,1,40,True,True,MA-004
MA-005,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-LAYOUT,All,Select all that apply (Centralized Workroom),MultiSelect,MixedItemScoring,1,50,True,True,MA-005
MA-006,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-SAFETY,All,"Is visibility provided into the space from adjacent corridors or circulation areas (i.e., glass exists, even if currently covered)?",YesNo,SingleResponse,1,60,True,True,MA-006
MA-007,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-SAFETY,All,What type of visibility is provided into the space from adjacent corridors or circulation areas?,MultiSelect,MixedItemScoring,1,70,True,True,MA-007
MA-008,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-FUNCTION,SUB-MAIN-OFFICE-FUNCTION-SAFETY,All,Select all that apply (Safety),MultiSelect,MixedItemScoring,1,80,True,True,MA-008
MA-009,SRV-ARRIVAL-MAIN-ENTRY,SPT-MAIN-OFFICE,SCAT-AMO,CAT-MAIN-OFFICE-INFRASTRUCTURE,SUB-MAIN-OFFICE-INFRASTRUCTURE-GENERAL,All,Select all that apply (General Inventory),MultiSelect,MixedItemScoring,1,90,True,True,MA-009
CP-001,SRV-ARRIVAL-MAIN-ENTRY,SPT-COMMUNITY-PARTNER,SCAT-AMO,CAT-COMMUNITY-PARTNER-FUNCTION,SUB-COMMUNITY-PARTNER-FUNCTION-GENERAL,All,Is a dedicated community partners suite provided on this campus?,YesNo,SingleResponse,1,100,True,True,CP-001
